current_attendance,present_classes,absent_classes,total_classes,remaining_classes,weekly_subject_classes,minimum_attendance,planned_leave_classes,days_remaining,absence_rate,future_attendance_after_leave,leave_risk
69.1176,47,21,68,41,1,70,5,207,0.308824,64.3836,HIGH
71.6667,43,17,60,48,3,70,2,83,0.283333,69.3548,HIGH
99.0196,101,1,102,10,6,65,1,12,0.009804,98.0583,LOW
51.3889,37,35,72,38,5,85,5,38,0.486111,48.0519,HIGH
52.381,11,10,21,70,3,75,6,116,0.47619,40.7407,HIGH
64.3836,94,52,146,14,1,65,1,69,0.356164,63.9456,HIGH
98.8889,89,1,90,28,2,85,1,67,0.011111,97.8022,LOW
87.5,84,12,96,38,2,90,4,92,0.125,84.0,HIGH
47.3684,9,10,19,66,2,80,2,163,0.526316,42.8571,HIGH
42.8571,24,32,56,60,2,80,2,151,0.571429,41.3793,HIGH
97.4359,38,1,39,47,3,75,2,76,0.025641,92.6829,LOW
95.3704,103,5,108,15,6,75,1,10,0.046296,94.4954,LOW
96.875,93,3,96,49,6,75,1,42,0.03125,95.8763,LOW
59.7701,52,35,87,50,3,75,2,86,0.402299,58.427,HIGH
59.375,19,13,32,53,1,75,3,266,0.40625,54.2857,HIGH
36.5854,15,26,41,62,3,85,3,103,0.634146,34.0909,HIGH
61.194,41,26,67,37,2,75,14,94,0.38806,50.6173,HIGH
73.6842,14,5,19,70,5,80,5,72,0.263158,58.3333,HIGH
58.6207,51,36,87,44,4,75,2,53,0.413793,57.3034,HIGH
93.9394,62,4,66,30,2,75,5,73,0.060606,87.3239,LOW
80.4124,78,19,97,36,5,80,18,36,0.195876,67.8261,HIGH
96.6667,58,2,60,67,2,75,3,166,0.033333,92.0635,LOW
63.9098,85,48,133,30,3,75,3,52,0.360902,62.5,HIGH
64.6018,73,40,113,12,2,65,0,33,0.353982,64.6018,HIGH
42.029,29,40,69,41,4,85,2,50,0.57971,40.8451,HIGH
75.0,21,7,28,68,1,75,4,339,0.25,65.625,HIGH
72.093,31,12,43,63,5,75,1,64,0.27907,70.4545,HIGH
63.6364,7,4,11,69,4,75,3,90,0.363636,50.0,HIGH
94.4444,17,1,18,70,5,80,4,70,0.055556,77.2727,HIGH
97.8261,90,2,92,35,5,75,6,33,0.021739,91.8367,LOW
73.2558,63,23,86,45,6,75,3,35,0.267442,70.7865,HIGH
95.0,133,7,140,28,6,80,5,21,0.05,91.7241,LOW
98.0,49,1,50,54,4,80,5,68,0.02,89.0909,LOW
97.3684,37,1,38,54,3,70,4,88,0.026316,88.0952,LOW
53.1915,25,22,47,63,3,75,1,106,0.468085,52.0833,HIGH
85.7143,18,3,21,70,5,85,3,73,0.142857,75.0,HIGH
26.6667,8,22,30,65,1,75,1,327,0.733333,25.8065,HIGH
74.359,29,10,39,66,1,75,2,331,0.25641,70.7317,HIGH
97.5,39,1,40,54,5,70,3,53,0.025,90.6977,LOW
97.0588,66,2,68,32,4,80,4,38,0.029412,91.6667,LOW
63.4146,26,15,41,58,3,70,2,99,0.365854,60.4651,HIGH
81.1765,69,16,85,49,1,80,2,246,0.188235,79.3103,HIGH
85.7143,66,11,77,41,5,85,0,43,0.142857,85.7143,MEDIUM
57.6923,30,22,52,64,5,75,2,61,0.423077,55.5556,HIGH
96.7742,60,2,62,45,2,75,3,112,0.032258,92.3077,LOW
39.3258,35,54,89,46,2,85,5,115,0.606742,37.234,HIGH
98.2456,56,1,57,62,4,70,0,77,0.017544,98.2456,LOW
72.7273,40,15,55,58,3,75,2,99,0.272727,70.1754,HIGH
97.4359,76,2,78,41,3,65,4,71,0.025641,92.6829,LOW
72.0,18,7,25,70,3,75,5,116,0.28,60.0,HIGH
30.7692,8,18,26,70,4,65,3,91,0.692308,27.5862,HIGH
50.0,9,9,18,70,3,75,2,115,0.5,45.0,HIGH
94.6667,71,4,75,46,3,80,3,75,0.053333,91.0256,LOW
96.0,96,4,100,38,3,80,2,64,0.04,94.1176,LOW
95.6989,89,4,93,41,6,85,1,37,0.043011,94.6809,LOW
82.8283,82,17,99,32,2,85,0,77,0.171717,82.8283,HIGH
78.5714,44,12,56,62,3,80,2,104,0.214286,75.8621,HIGH
73.0769,57,21,78,34,3,75,5,57,0.269231,68.6747,HIGH
61.1111,11,7,18,70,2,65,2,174,0.388889,55.0,HIGH
60.0,18,12,30,65,3,75,4,112,0.4,52.9412,HIGH
40.0,32,48,80,39,5,75,7,37,0.6,36.7816,HIGH
61.6667,37,23,60,63,4,70,1,78,0.383333,60.6557,HIGH
